bench,src,pc,latency
500.perlbench_r/1,1/super_hot_regions:0,0x5ebda5d65ea5,2
500.perlbench_r/1,1/super_hot_regions:0,0x5ebda5d65eaa,0

500.perlbench_r/1,1/super_hot_regions:104,0x5ebda5d668d8,3
500.perlbench_r/1,1/super_hot_regions:104,0x5ebda5d668df,0
500.perlbench_r/1,1/super_hot_regions:104,0x5ebda5d668e3,0

500.perlbench_r/1,1/super_hot_regions:105,0x5ebda5d696cc,2
500.perlbench_r/1,1/super_hot_regions:105,0x5ebda5d696d0,0

500.perlbench_r/1,1/super_hot_regions:108,0x5ebda5d68ff5,2
500.perlbench_r/1,1/super_hot_regions:108,0x5ebda5d69012,0

500.perlbench_r/1,1/super_hot_regions:11,0x5ebda5d75e7e,1
500.perlbench_r/1,1/super_hot_regions:11,0x5ebda5d75e80,0

500.perlbench_r/1,1/super_hot_regions:110,0x5ebda5d68fb0,1
500.perlbench_r/1,1/super_hot_regions:110,0x5ebda5d68fbb,0

500.perlbench_r/1,1/super_hot_regions:113,0x5ebda5d667ad,1
500.perlbench_r/1,1/super_hot_regions:113,0x5ebda5d667b9,0
500.perlbench_r/1,1/super_hot_regions:113,0x5ebda5d667eb,0

500.perlbench_r/1,1/super_hot_regions:119,0x5ebda5d6670e,3
500.perlbench_r/1,1/super_hot_regions:119,0x5ebda5d66713,0
500.perlbench_r/1,1/super_hot_regions:119,0x5ebda5d66718,0
500.perlbench_r/1,1/super_hot_regions:119,0x5ebda5d6671a,0
500.perlbench_r/1,1/super_hot_regions:119,0x5ebda5d66721,0
500.perlbench_r/1,1/super_hot_regions:119,0x5ebda5d66724,0
500.perlbench_r/1,1/super_hot_regions:119,0x5ebda5d6673b,0

500.perlbench_r/1,1/super_hot_regions:12,0x5ebda5d75e83,2
500.perlbench_r/1,1/super_hot_regions:12,0x5ebda5d75e87,0

500.perlbench_r/1,1/super_hot_regions:122,0x5ebda5d73b58,2
500.perlbench_r/1,1/super_hot_regions:122,0x5ebda5d73b5c,0

500.perlbench_r/1,1/super_hot_regions:129,0x5ebda5d1867f,2
500.perlbench_r/1,1/super_hot_regions:129,0x5ebda5d1868d,0

500.perlbench_r/1,1/super_hot_regions:13,0x5ebda5d75e8a,1
500.perlbench_r/1,1/super_hot_regions:13,0x5ebda5d75e8c,0

500.perlbench_r/1,1/super_hot_regions:130,0x5ebda5d18678,5
500.perlbench_r/1,1/super_hot_regions:130,0x5ebda5d18694,0
500.perlbench_r/1,1/super_hot_regions:130,0x5ebda5d1869f,0
500.perlbench_r/1,1/super_hot_regions:130,0x5ebda5d186a3,0
500.perlbench_r/1,1/super_hot_regions:130,0x5ebda5d186a7,0

500.perlbench_r/1,1/super_hot_regions:131,0x5ebda5d186b2,2
500.perlbench_r/1,1/super_hot_regions:131,0x5ebda5d186b6,0

500.perlbench_r/1,1/super_hot_regions:134,0x5ebda5d186dd,2
500.perlbench_r/1,1/super_hot_regions:134,0x5ebda5d186e4,0

500.perlbench_r/1,1/super_hot_regions:15,0x5ebda5d75ed5,2
500.perlbench_r/1,1/super_hot_regions:15,0x5ebda5d75ed9,0

500.perlbench_r/1,1/super_hot_regions:17,0x5ebda5d75ebf,1
500.perlbench_r/1,1/super_hot_regions:17,0x5ebda5d75ec1,0

500.perlbench_r/1,1/super_hot_regions:2,0x5ebda5d65e54,2
500.perlbench_r/1,1/super_hot_regions:2,0x5ebda5d65e5d,0

500.perlbench_r/1,1/super_hot_regions:27,0x5ebda5d752a2,1
500.perlbench_r/1,1/super_hot_regions:27,0x5ebda5d752ac,0

500.perlbench_r/1,1/super_hot_regions:28,0x5ebda5d752b0,2
500.perlbench_r/1,1/super_hot_regions:28,0x5ebda5d752b3,0

500.perlbench_r/1,1/super_hot_regions:29,0x5ebda5d75294,2
500.perlbench_r/1,1/super_hot_regions:29,0x5ebda5d752b9,0

500.perlbench_r/1,1/super_hot_regions:3,0x5ebda5d65e59,2
500.perlbench_r/1,1/super_hot_regions:3,0x5ebda5d65e5f,0
500.perlbench_r/1,1/super_hot_regions:3,0x5ebda5d65e62,0

500.perlbench_r/1,1/super_hot_regions:33,0x5ebda5d7614e,1
500.perlbench_r/1,1/super_hot_regions:33,0x5ebda5d76150,0

500.perlbench_r/1,1/super_hot_regions:35,0x5ebda5dc7520,2
500.perlbench_r/1,1/super_hot_regions:35,0x5ebda5dc7527,0

500.perlbench_r/1,1/super_hot_regions:39,0x5ebda5d65cbb,2
500.perlbench_r/1,1/super_hot_regions:39,0x5ebda5d65cc6,0

500.perlbench_r/1,1/super_hot_regions:40,0x5ebda5d65ccd,3
500.perlbench_r/1,1/super_hot_regions:40,0x5ebda5d65cd6,0
500.perlbench_r/1,1/super_hot_regions:40,0x5ebda5d65cd9,0

500.perlbench_r/1,1/super_hot_regions:42,0x5ebda5d65cf0,1
500.perlbench_r/1,1/super_hot_regions:42,0x5ebda5d65cf3,0

500.perlbench_r/1,1/super_hot_regions:43,0x5ebda5d65d1f,3
500.perlbench_r/1,1/super_hot_regions:43,0x5ebda5d65d22,0
500.perlbench_r/1,1/super_hot_regions:43,0x5ebda5d65d27,0
500.perlbench_r/1,1/super_hot_regions:43,0x5ebda5d65d29,0
500.perlbench_r/1,1/super_hot_regions:43,0x5ebda5d65d2c,0

500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65cfa,11
500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65d05,0
500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65d09,0
500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65d0e,0
500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65d12,0
500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65d17,0
500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65d1c,0
500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65d33,0
500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65d36,0
500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65d39,0
500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65d3c,0
500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65d43,0
500.perlbench_r/1,1/super_hot_regions:44,0x5ebda5d65d46,0

500.perlbench_r/1,1/super_hot_regions:46,0x5ebda5d65d71,2
500.perlbench_r/1,1/super_hot_regions:46,0x5ebda5d65d81,0
500.perlbench_r/1,1/super_hot_regions:46,0x5ebda5d65d84,0

500.perlbench_r/1,1/super_hot_regions:47,0x5ebda5d65e38,1
500.perlbench_r/1,1/super_hot_regions:47,0x5ebda5d65e4c,0

500.perlbench_r/1,1/super_hot_regions:5,0x5ebda5d6ebc5,2
500.perlbench_r/1,1/super_hot_regions:5,0x5ebda5d6ebc9,0
500.perlbench_r/1,1/super_hot_regions:5,0x5ebda5d6ebce,0
500.perlbench_r/1,1/super_hot_regions:5,0x5ebda5d6ebd3,0

500.perlbench_r/1,1/super_hot_regions:56,0x5ebda5d6611d,4
500.perlbench_r/1,1/super_hot_regions:56,0x5ebda5d66124,0
500.perlbench_r/1,1/super_hot_regions:56,0x5ebda5d66128,0
500.perlbench_r/1,1/super_hot_regions:56,0x5ebda5d6612d,0
500.perlbench_r/1,1/super_hot_regions:56,0x5ebda5d66132,0
500.perlbench_r/1,1/super_hot_regions:56,0x5ebda5d66138,0
500.perlbench_r/1,1/super_hot_regions:56,0x5ebda5d6613b,0

500.perlbench_r/1,1/super_hot_regions:58,0x5ebda5d660f7,2
500.perlbench_r/1,1/super_hot_regions:58,0x5ebda5d66105,0

500.perlbench_r/1,1/super_hot_regions:59,0x5ebda5d660fb,3
500.perlbench_r/1,1/super_hot_regions:59,0x5ebda5d66102,0
500.perlbench_r/1,1/super_hot_regions:59,0x5ebda5d66107,0
500.perlbench_r/1,1/super_hot_regions:59,0x5ebda5d6610c,0
500.perlbench_r/1,1/super_hot_regions:59,0x5ebda5d66111,0

500.perlbench_r/1,1/super_hot_regions:74,0x5ebda5d69f00,1
500.perlbench_r/1,1/super_hot_regions:74,0x5ebda5d69f03,0

500.perlbench_r/1,1/super_hot_regions:75,0x5ebda5d69ef9,2
500.perlbench_r/1,1/super_hot_regions:75,0x5ebda5d69f07,0

500.perlbench_r/1,1/super_hot_regions:78,0x5ebda5d66416,2
500.perlbench_r/1,1/super_hot_regions:78,0x5ebda5d6641e,0

500.perlbench_r/1,1/super_hot_regions:80,0x5ebda5d65f34,2
500.perlbench_r/1,1/super_hot_regions:80,0x5ebda5d65f36,0

500.perlbench_r/1,1/super_hot_regions:81,0x5ebda5d66669,5
500.perlbench_r/1,1/super_hot_regions:81,0x5ebda5d66675,0
500.perlbench_r/1,1/super_hot_regions:81,0x5ebda5d6667c,0
500.perlbench_r/1,1/super_hot_regions:81,0x5ebda5d66685,0
500.perlbench_r/1,1/super_hot_regions:81,0x5ebda5d6668c,0

500.perlbench_r/1,1/super_hot_regions:82,0x5ebda5d6668f,2
